Unnamed: 0.1,Unnamed: 0,Query,Link,Status
66,66,anadolujet,https://www.trustpilot.com/review/anadolujet.com,Collected
67,67,arik air,https://www.trustpilot.com/review/arikair.com,Collected
68,68,asiana airlines,https://www.trustpilot.com/review/asiana-airlines.net,Collected
69,69,atlantic airways,https://www.trustpilot.com/review/www.atlantic.fo,Collected
70,70,austrian airlines,https://www.trustpilot.com/review/www.austrian.com,Collected
71,71,austrian airlines,https://www.trustpilot.com/review/austrian-airlines.sk,Collected
72,72,austrian airlines,https://www.trustpilot.com/review/bookflights.austrian.com,Collected
73,73,austrian airlines,https://www.trustpilot.com/review/shop.austrian.com,Collected
74,74,avianca,https://www.trustpilot.com/review/avianca.com,Collected
75,75,bahamasair,https://www.trustpilot.com/review/www.bahamasair.com,Collected
76,76,batik air,https://www.trustpilot.com/review/batikair.com,Collected
77,77,biman bangladesh airlines,https://www.trustpilot.com/review/www.biman-airlines.com,Collected
78,78,binter,https://www.trustpilot.com/review/bintercanarias.com,Collected
79,79,blue air,https://www.trustpilot.com/review/www.blueairweb.com,Collected
80,80,blue air,https://www.trustpilot.com/review/blue-air.ro,Collected
81,81,blue panorama airlines,https://www.trustpilot.com/review/www.blue-panorama.com,Collected
82,82,boutique air,https://www.trustpilot.com/review/boutiqueair.com,Collected
83,83,british airways,https://www.trustpilot.com/review/www.britishairways.com,Collected
84,84,british airways,https://www.trustpilot.com/review/britishairways.dk,Collected
85,85,british airways,https://www.trustpilot.com/review/ba.uk,Collected
86,86,british airways,https://www.trustpilot.com/review/worldtraveller.com,Collected
87,87,brussels airlines,https://www.trustpilot.com/review/www.brusselsairlines.com,Collected
88,88,buta airways,https://www.trustpilot.com/review/www.butaairways.az,Collected
89,89,cabo verde airlines,https://www.trustpilot.com/review/www.caboverdeairlines.com,Collected
90,90,cambodia angkor air,https://www.trustpilot.com/review/cambodiaangkorair.com,Collected
91,91,canaryfly,https://www.trustpilot.com/review/www.canaryfly.es,Collected
92,92,cape air,https://www.trustpilot.com/review/capeair.com,Collected
93,93,central mountain air,https://www.trustpilot.com/review/flycma.com,Collected
94,94,china airlines,https://www.trustpilot.com/review/china-airlines.com,Collected
95,95,china southern airlines,https://www.trustpilot.com/review/global.csair.com,Collected
96,96,china southern airlines,https://www.trustpilot.com/review/www.china-southern-airlines.com,Collected
97,97,cinnamon air,https://www.trustpilot.com/review/cinnamonair.com,Collected
98,98,cityjet,https://www.trustpilot.com/review/www.cityjet.com,Collected
99,99,cobalt,https://www.trustpilot.com/review/cobalt.solutions,Collected
100,100,corendon airlines,https://www.trustpilot.com/review/corendonairlines.com,Collected
101,101,corsair,https://www.trustpilot.com/review/www.corsair.fr,Collected
102,102,corsair,https://www.trustpilot.com/review/www.corsair.com,Collected
103,103,corsair,https://www.trustpilot.com/review/corsairmemory.com,Collected
104,104,croatia airlines,https://www.trustpilot.com/review/www.croatiaairlines.com,Collected
105,105,cubana de aviacion,https://www.trustpilot.com/review/cubana.cu,Collected
106,106,cyprus airways,https://www.trustpilot.com/review/cyprusairways.com,Collected
107,107,czech airlines,https://www.trustpilot.com/review/www.czechairlines.com,Collected
108,108,czech airlines,https://www.trustpilot.com/review/www.csa.cz,Collected
109,109,delta air lines,https://www.trustpilot.com/review/www.delta.com,Collected
110,110,eastern airways,https://www.trustpilot.com/review/easternairways.com,Collected
111,111,easyfly,https://www.trustpilot.com/review/easyfly.co.uk,Collected
112,112,easyfly,https://www.trustpilot.com/review/easyfly.bg,Collected
113,113,easyfly,https://www.trustpilot.com/review/easyfly.pl,Collected
114,114,easyjet,https://www.trustpilot.com/review/www.easyjet.com,Collected
115,115,easyjet,https://www.trustpilot.com/review/cars.easyjet.com,Collected
116,116,easyjet,https://www.trustpilot.com/review/easyjet.ch,Collected
117,117,easyjet,https://www.trustpilot.com/review/easyjet.es,Collected
118,118,easyjet,https://www.trustpilot.com/review/easyjet.it,Collected
119,119,edelweiss air,https://www.trustpilot.com/review/edelweissair.ch,Collected
120,120,edelweiss air,https://www.trustpilot.com/review/flyedelweiss.com,Collected
121,121,egyptair,https://www.trustpilot.com/review/egyptair.com,Collected
122,122,ellinair,https://www.trustpilot.com/review/en.ellinair.com,Collected
123,123,emirates,https://www.trustpilot.com/review/www.emirates.com,Collected
124,124,emirates,https://www.trustpilot.com/review/emirates.dk,Collected
125,125,emirates,https://www.trustpilot.com/review/www.emirates.org,Collected
126,126,emirates,https://www.trustpilot.com/review/emirates.co.uk,Collected
127,127,enter air,https://www.trustpilot.com/review/enterair.pl,Collected
128,128,ernest,https://www.trustpilot.com/review/ernest.hk,Collected
129,129,etihad airways,https://www.trustpilot.com/review/dxbooking.etihad.com,Collected
130,130,etihad airways,https://www.trustpilot.com/review/uaevisas.etihad.com,Collected
131,131,eurowings,https://www.trustpilot.com/review/www.germanwings.com,Collected
132,132,eurowings,https://www.trustpilot.com/review/eurowings.com,Collected
133,133,eurowings,https://www.trustpilot.com/review/eurowings-holidays.co.uk,Collected
134,134,eurowings,https://www.trustpilot.com/review/eurowings.de,Collected
135,135,eurowings,https://www.trustpilot.com/review/eurowings.dk,Collected
